[INFO ] [Thread:main] 2019-07-03 11:01:05,445 core.tests.SupportTest.runOncePerSuite:L50 - Central setup completed.
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,842 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,842 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "Content-Length:886[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,842 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,842 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,842 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 << "{"sessionId":"7dd2f2f8a68701df54312423ceb38c6f","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"2.41.578737 (49da6702b16031c40d63e5618de03a32ff6c197e)","userDataDir":"C:\\Users\\admin\\AppData\\Local\\Temp\\scoped_dir4152_11054"},"cssSelectorsEnabled":true,"databaseEnabled":false,"goog:chromeOptions":{"debuggerAddress":"localhost:49213"},"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"none","platform":"Windows NT","rotatable":false,"setWindowRect":true,"takesHeapSnapshot":true,"takesScreenshot":true,"unexpectedAlertBehaviour":"","version":"75.0.3770.100","webStorageEnabled":true}}"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,904 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived:L122 - http-outgoing-0 << HTTP/1.1 200 OK
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,904 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived:L125 - http-outgoing-0 << Content-Length:886
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:10,904 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived:L125 - http-outgoing-0 << Content-Type:application/json; charset=utf-8
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:11,029 org.apache.http.impl.execchain.MainClientExec.execute:L285 - Connection can be kept alive indefinitely
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:11,060 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection:L320 - Connection [id: 0][route: {}->http://localhost:25591] can be kept alive indefinitely
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:11,060 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection:L326 - Connection released: [id: 0][route: {}->http://localhost:25591][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,276 org.apache.http.client.protocol.RequestAddCookies.process:L123 - CookieSpec selected: default
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,276 org.apache.http.client.protocol.RequestAuthCache.process:L77 - Auth cache not set in the context
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,276 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection:L255 - Connection request: [route: {}->http://localhost:25591][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,276 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection:L288 - Connection leased: [id: 0][route: {}->http://localhost:25591][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,276 org.apache.http.impl.execchain.MainClientExec.execute:L208 - Stale connection check
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 << "[read] I/O error: Read timed out"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.setSocketTimeout:L88 - http-outgoing-0: set socket timeout to 10800000
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.execchain.MainClientExec.execute:L256 - Executing request POST /session/7dd2f2f8a68701df54312423ceb38c6f/window/current/maximize HTTP/1.1
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.execchain.MainClientExec.execute:L261 - Target auth state: UNCHALLENGED
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.execchain.MainClientExec.execute:L267 - Proxy auth state: UNCHALLENGED
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L133 - http-outgoing-0 >> POST /session/7dd2f2f8a68701df54312423ceb38c6f/window/current/maximize HTTP/1.1
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Content-Length: 45
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Host: localhost:25591
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Connection: Keep-Alive
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_201)
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Accept-Encoding: gzip,deflate
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "POST /session/7dd2f2f8a68701df54312423ceb38c6f/window/current/maximize HTTP/1.1[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "Content-Length: 45[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "Host: localhost:25591[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_201)[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "[\r][\n]"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:12,323 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 >> "{"windowHandle":"current","handle":"current"}"
[DEBUG] [Thread:Forwarding maximizeCurrentWindow on session 7dd2f2f8a68701df54312423ceb38c6f to remote] 2019-07-03 11:01:13,494 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
